,Artist,Title,emotion,calm,sorrow,power,joy,romance
49,Monica Heldal,Follow You Anywhere,calm,0.9,0.05,0.034629457,0.3858579,0.50110555
50,Mountain Man,Baby Where You Are,calm,1,0.006901394,0.34063816,0.04365595,0.6060195
51,Johanna Warren,Black Moss,calm,0.9,0.1,0.001810238,0.001556644,0.9892021
52,Dido,Give You Up,calm,0.4,0.89311683,0.05,0.002913831,0.25
53,Neil Young,Heart of Gold - 2009 Remaster,calm,0.428571429,0.071428571,0.142857143,0.9802986,0.071428571
54,RY X,YaYaYa,calm,0.7,0.2,0.030674323,0.75713074,0.12569983
55,The Sweeplings,Across the Sea,calm,0.55,0.45,0.002801685,0.1446162,0.78951186
56,Rosemary & Garlic,Old Now,calm,0.75,0.1561807,0.05,0.1,0.75215334
57,Aisha Badru,Waiting Around - Acoustic,calm,0.95,0.05,0.024022017,0.9661311,0.003075759
58,Lake Street Dive,I Can Change,calm,0.55,0.69391453,0.055452574,0.05,0.3
59,Mountain Man,"Take Me Home, Country Roads",calm,0.75,0.05,0.011570351,0.6913059,0.032033205
60,The Low Anthem,To Ohio,calm,0.8,0.003932265,0.05,0.9620361,0.15
61,Brandi Carlile,Every Time I Hear That Song,calm,0.35,0.45,0.1,0.05,0.9541111
62,Brett Dennen,Where We Left Off,calm,0.85,0.087369904,0.00064279,0.05,0.89770013
63,Jeff Tweedy,In A Future Age,calm,0.59073955,0.3,0.23961207,0.16596265,0.2
64,Old Sea Brigade,Tidal Wave ,calm,0.7,0.28793603,0.009614781,0.25,0.3990996
65,Aisha Badru,Bridges ,calm,0.5,0.1,0.004622805,0.05,0.97220695
66,Gem Club,Twins,calm,0.6,0.4,0.000471557,0.001394235,0.9836457
67,Ben Platt,Grow As We Go,calm,0.6,0.3,0.011075346,0.07843791,0.88004357
68,Charlie Cunningham,Headlights,calm,0.65,0.05,0.004065962,0.18094376,0.7898413
69,Matt Maeson,I Just Don't Care That Much - Stripped,calm,0.24000584,0.35,0.64508265,0.057049368,0.3
70,Winnie Raeder,Don't You Dare,calm,0.7,0.5299062,0.17276335,0.15,0.2789569
71,Meadowlark,May I Have This Dance,calm,0.85,0.05,0.000375321,0.00437607,0.99114615
72,"The Staves, yMusic",Trouble on My Mind,calm,0.9,0.91414255,0.04198596,0.003350841,0.05
73,Lomelda,Bust,calm,0.85,0.10097611,0.020538928,0.004146011,0.8730181
74,The Woodlands,Sudden Love - Acoustic,calm,0.2,0.05,0.7027762,0.25232142,0.25
75,Eddie Berman,Untamed,calm,0.45141053,0.55,0.22379161,0.024174538,0.05
76,Mahalia,Grateful,calm,0.15,0.55,0.000779704,0.15,0.95697093
77,Sam Amidon,I Wish I Wish,calm,0.75,0.12393297,0.1,0.016494365,0.83188593
78,Quiet Arrows,Find a Way,calm,0.85,0.1,0.008912304,0.65092015,0.2649117
79,RY X,Body Sun,calm,0.55,0.3,0.09233339,0.03306143,0.8707493
80,Lights,Same Sea,calm,0.85,0.1,0.17513369,0.30300432,0.06901619
81,The Staves,I'm on Fire,calm,0.95,0.05,0.015435161,0.19250144,0.7813824
82,Birdy,Not About Angels,calm,0.85,0.014140816,0.38917375,0.28763747,0.1
83,Devendra Banhart,Middle Names,calm,0.85,0.15,0.008920338,0.004263658,0.9144441
84,Lianne La Havas,Wonderful - Solo,calm,0.85,0.05,0.1,0.1919793,0.7471068
85,Damien Rice,9 Crimes,calm,0.55,0.31166935,0.19675638,0.05,0.44185758
86,Wilco,The Lonely 1,calm,0.85,0.007583299,0.002991817,0.6999153,0.25956348
87,Brent Cobb,Shine On Rainy Day,calm,0.36421195,0.1,0.023075914,0.548061,0.45
88,Eminem,Walk on Water,calm,0.05,0.3,0.9723697,0.2,0.15
89,Eminem,Not Afraid,calm,0.074722275,0.3,0.6,0.6098726,0.16033855
90,Eminem,Sing for the Moment,calm,0.2,0.002451237,0.89468706,0.07382886,0.2
91,Eminem,Infinite,calm,0.005948588,0.1,0.45,0.95848185,0.25
92,Eminem,So Far...,calm,0.3,0.1,0.19282079,0.76256293,0.05
93,Eminem,Normal,calm,0.3,0.21439467,0.6,0.2515058,0.05138682
94,Eminem,8 Mile,calm,0.6,0.03859019,0.676408,0.2608085,0.000756213
95,Eminem,8 Mile: Lotto vs B-Rabbit,calm,0.2,0.001778617,0.60389996,0.4,0.1
96,Eminem,8 Mile: Lyckety-Splyt vs B-Rabbit,calm,0.1,0.001875363,0.81442505,0.6,0.3
97,Eminem,Talkin’ 2 Myself,calm,0.2683308,0.2,0.7,0.46398574,0.05
98,Eminem,Under the Influence,calm,0.05,0.001194289,0.9,0.8852981,0.001188112
99,Eminem,Underground,calm,0.05,0.9,0.60391074,0.33237413,0.05
100,Eminem,Book of Rhymes,calm,0.30228698,0.05,0.6,0.564328,0.001051651
101,Eminem,Untitled,calm,0.059553083,0.1,0.9,0.7906044,0.000633433
102,Eminem,Don’t Front,calm,0.03768814,0.05,0.95,0.4279474,0.000480084
103,Eminem,Hello,calm,0.05,0.9,0.22151291,0.28554305,0.14714938
104,Eminem,Must Be the Ganja,calm,0.013968648,0.001256469,0.8,0.9603159,0.05
105,Eminem,Elevator,calm,0.0319546,0.05,0.75,0.9012706,0.1
106,Eminem,Revival (Interlude),calm,0.13565287,0.833333333,0.09295656,0.7639845,0.111111111
107,Eminem,Lose Yourself (Original Demo Version),calm,0.35,0.05,0.9556125,0.1,0.05
108,Eminem,Session One,calm,0.026682543,0.001881688,0.2,0.9070728,0.35
109,Eminem,Alfred (Interlude),calm,0.4,0.001672411,0.2,0.62754977,0.2
110,Eminem,It’s O.K.,calm,0.6410456,0.15,0.75,0.208534,0.1
111,Eminem,Bad Influence,calm,0.028615607,0.005924275,0.85,0.59249026,0.000963076
112,Eminem,Weed Lacer,calm,0.026686843,0.006106223,0.7,0.8019686,0.3
113,Eminem,Greg,calm,0.25353187,0.470588235,0.3306757,0.529411765,0.000618247
114,Eminem,8 Mile Background Music,calm,0.03292944,0.002803752,0.65,0.93752533,0.004149487
115,Eminem,Our House,calm,0.25,0.001834404,0.65,0.9446633,0.1
116,Eminem,Intro (Curtain Call),calm,0.006198912,0.272727273,0.181818182,0.9788625,0.363636364
117,Eminem,Alfred (Intro),calm,0.5363613,0.15,0.55,0.16747321,0.05
118,Eminem,50 Ways,calm,0.00610724,0.2,0.25,0.45,0.7582687
119,Eminem,W.E.G.O. (Interlude),calm,0.011095561,0.000624728,0.0625,0.94635,0.6875
120,Eminem,8 Mile: D’Phuzion vs B-Rabbit,calm,0.028213805,0.001206002,0.6031742,0.36643654,0.000969383
121,Eminem,Thus Far (Interlude),calm,0.15683348,0.003187957,0.75960195,0.666666667,0.00068747
122,Eminem,8 Mile: Lily’s Lullaby,calm,0.004779604,0.15,0.75,0.42716253,0.47010985
123,Eminem,God Is Cleaning Out My Closet,calm,0.013165287,0.25,0.45,0.6396196,0.05
124,Eminem,Eminem’s Tattoos,calm,0.036431607,0.001681542,0.42358297,0.5372046,0.6
125,Eminem,Whether or Not,calm,0.3,0.038721763,0.6,0.28448623,0.05
126,Eminem,Infinite (F.B.T. Remix),calm,0.013266073,0.6,0.2,0.8360176,0.003954785
127,Eminem,1999,calm,0.008172612,0.0023973,0.55,0.5710637,0.001925413
128,Eminem,The Way I Am (Danny Lohner Remix),calm,0.103254735,0.002358745,0.45,0.81318873,0.1
129,Eminem,’97 Blazer,calm,0.05166842,0.003208844,0.7,0.8425415,0.3
130,Eminem,Ghost Stories,calm,0.007530843,0.021613643,0.8989607,0.65,0.35
131,Eminem,Lose Yourself (Drum & Bass Remix),calm,0.060370702,0.26987648,0.53250915,0.2,0.2
132,Eminem,What Colour Is Soul,calm,0.006386411,0.05,0.45,0.9709645,0.5
133,Eminem,Don’t Chew With Your Mouth Full,calm,0.06872598,0.000984796,0.6,0.8552597,0.3
134,Eminem,"Eminem, Paul Rosenberg Intro",calm,0.04708323,0.003473264,0.2,0.8777514,0.3
135,Eminem,"Open Mic Feb. 17, 1996",calm,0.1,0.1,0.47532317,0.5110449,0.25
136,Eminem,Ode To Detroit,calm,0.11712411,0.002125035,0.9,0.7331571,0.00323308
137,Eminem,Don’t Call Me Marshall (Intro),calm,0.2145495,0.25,0.74211794,0.25,0.05
138,Eminem,Hot 100 Chart History,calm,0.24210279,0.025500648,0.75,0.4401074,0.000821938
139,Eminem,Lose Yourself (Live at the 92nd Academy Awards),calm,0.15,0.33965647,0.49173766,0.3,0.1
140,Eminem,Eminem Full Discography,calm,0.4,0.15,0.35,0.9622729,0.001750321
141,Eminem,Cannon for nick,calm,0.07127701,0.055001847,0.2,0.75,0.6603883
142,Eminem,Rolling Stone Q/A Exclusive 2013,calm,0.1078761,0.05,0.45,0.73371834,0.5
143,Eminem,NOT KEYS TO THE CITY,calm,0.3,0.12460645,0.738576,0.05,0.05
144,Eminem,Ghost,calm,0.013649387,0.12528245,0.85,0.21283317,0.05
145,Eminem,One Chance,calm,0.1,0.1,0.42881116,0.36738214,0.11598655
146,Eminem,I’m A Ghost,calm,0.013649387,0.12528245,0.85,0.21283317,0.05
147,Eminem,Public Service Announcement 2013,calm,0.28027546,0.15,0.7,0.25795698,0.05
148,Justin Bieber,Love Yourself,calm,0.05,0.35,0.35,0.05,0.9185189
149,Justin Bieber,I’ll Show You,calm,0.809828,0.45,0.13806233,0.45,0.05
150,Justin Bieber,Company,calm,0.005906485,0.25,0.001974623,0.35,0.8566919
151,Justin Bieber,No Pressure,calm,0.6622885,0.15,0.35,0.1,0.4
152,Justin Bieber,Habitual,calm,0.2,0.05,0.2,0.45,0.6961593
153,Justin Bieber,All Around Me,calm,0.003110504,0.2,0.05,0.15,0.99193853
154,Justin Bieber,Be Alright,calm,0.05,0.15,0.6,0.05,0.9596717
155,Justin Bieber,Get Used to It,calm,0.05,0.1,0.2,0.1,0.9528841
156,Justin Bieber,Trust,calm,0.29713428,0.1,0.4,0.45537308,0.3
157,Justin Bieber,One Life,calm,0.2,0.2,0.05,0.25,0.9846052
158,Justin Bieber,Available,calm,0.009107342,0.1,0.005060631,0.1,0.87623596
159,Justin Bieber,Roller Coaster,calm,0.01027206,0.10546769,0.15,0.5,0.83598953
160,Justin Bieber,Pray,calm,0.58437735,0.25,0.35,0.35479382,0.35
161,Justin Bieber,Christmas Eve,calm,0.05,0.4,0.25,0.26959333,0.7191243
162,Justin Bieber,It’s All Gonna Be Okay,calm,0.25,0.25,0.2,0.05,0.9785412
163,Justin Bieber,Yellow Raincoat,calm,0.55,0.08102951,0.014117725,0.44803014,0.40198672
164,Justin Bieber,Oxygen,calm,0.05,0.15,0.25,0.4,0.91233873
165,Justin Bieber,Angels Speak Like This,calm,0.35,0.3,0.15,0.19733894,0.7754428
166,Justin Bieber,The Intro,calm,0.00509171,0.00062172,0.35,0.98130393,0.1
167,Justin Bieber,Long Way Home,calm,0.2,0.15,0.3,0.96254945,0.3
168,Justin Bieber,Bigger,calm,0.017890662,0.05,0.65,0.13601322,0.7976275
169,Justin Bieber,Christmas Love,calm,0.07311218,0.001805331,0.5,0.8165114,0.25
170,Justin Bieber,The Christmas Song (Chestnuts Roasting on An Open Fire),calm,0.3,0.05,0.15,0.90163624,0.45
171,Justin Bieber,Instagram of Batman Vs. Superman Script,calm,0.04935817,0.35,0.8395073,0.2,0.3
172,Justin Bieber,Celebrities Counting Down To “What Do You Mean?”,calm,0.005716434,0.05,0.55,0.9476776,0.35
173,Justin Bieber,Patient,calm,0.15,0.45,0.05,0.001760674,0.9915978
174,Justin Bieber,Just Like Them,calm,0.01281941,0.17841804,0.15,0.003036831,0.85
175,Justin Bieber,Be Alright (Acoustic),calm,0.24899273,0.25964692,0.6,0.05,0.4349347
176,Justin Bieber,Justin Bieber’s Tattoos,calm,0.032057736,0.05,0.70746845,0.7,0.2
177,Justin Bieber,Beauty and a Beat (Acoustic),calm,0.5,0.15,0.05,0.6685482,0.31783563
178,Justin Bieber,Look At The Stars,calm,0.05,0.15,0.6,0.05,0.9864716
179,Justin Bieber,Silent Night,calm,0.7110717,0.1,0.11041551,0.16114438,0.25
180,Justin Bieber,Blend,calm,0.058973953,0.1,0.2,0.915336,0.45
181,Justin Bieber,Home This Christmas,calm,0.87859327,0.15,0.1,0.25,0.25
182,Justin Bieber,Turn to You (Mother’s Day Dedication),calm,0.15,0.19297178,0.5,0.15,0.77232254
183,Justin Bieber,Someday At Christmas,calm,0.05,0.05,0.45,0.9466848,0.05
184,Justin Bieber,All Around the World (Acoustic),calm,0.1,0.1,0.05,0.8492465,0.55
185,Justin Bieber,Blowin’ In The Wind*,calm,0.5553263,0.7,0.027655834,0.40277663,0.3
186,Justin Bieber,Wash Away,calm,0.37171528,0.05,0.4,0.58321553,0.35
187,Justin Bieber,Never Say Never (Acoustic),calm,0.7347398,0.2,0.55,0.05,0.2
188,Justin Bieber,What Do You Mean? (Acoustic),calm,0.1,0.2,0.9179011,0.05,0.65
189,Justin Bieber,Down to Earth (Acoustic),calm,0.2,0.6299397,0.2,0.15,0.19475146
190,Justin Bieber,Antidepressant,calm,0.20435175,0.25,0.2,0.25,0.64017874
191,Justin Bieber,Trust Me,calm,0.001764173,0.01009203,0.1,0.1,0.9616356
192,Justin Bieber,U Smile (Acoustic),calm,0.002198329,0.65,0.000426853,0.002109121,0.9911048
193,Justin Bieber,For Sure,calm,0.020221151,0.13656482,0.095010996,0.15,0.8
194,Justin Bieber,Let It Be (Cover),calm,0.066451974,0.5,0.6879377,0.15784821,0.2
195,Justin Bieber,Set A Place At Your Table,calm,0.30731994,0.2,0.1,0.60030824,0.45
196,Lady Gaga,Just Another Day,calm,0.014315372,0.001642024,0.15,0.9524161,0.8
197,Lady Gaga,Red and Blue,calm,0.2,0.1,0.1,0.25,0.9724505
198,Lady Gaga,Living on the Radio,calm,0.45,0.34941262,0.05,0.3,0.2
199,Lady Gaga,Sire,calm,0.037131045,0.76469654,0.2,0.4,0.18006939
200,Lady Gaga,Ribbons,calm,0.020257886,0.001703988,0.5,0.9677862,0.35
201,Lady Gaga,Changing Skies,calm,0.01976285,0.001279487,0.05,0.9372363,0.9
202,Lady Gaga,Deep Blue,calm,0.01029106,0.6,0.18123029,0.15,0.66699594
203,Lady Gaga,Gaze,calm,0.1,0.05,0.7991519,0.25,0.45
204,Lady Gaga,Imagine,calm,0.6,0.15,0.11677225,0.8079439,0.2
205,Lady Gaga,Reel Cool,calm,0.005761468,0.000569544,0.3,0.98275006,0.65
206,Lady Gaga,Feels So Good*,calm,0.2,0.1,0.225306,0.72475916,0.35
207,Lady Gaga,Chances*,calm,0.21046382,0.05,0.30177686,0.44644928,0.45
208,Lady Gaga,Chromatica 1 (Concept),calm,0.22522143,0.012588326,0.9,0.5041279,0.002541846
209,Lady Gaga,Optimist,calm,0.356498,0.0923567,0.30127493,0.25,0.65
210,Lady Gaga,LG6 SONG,calm,0.05179945,0.4914049,0.4299656,0.05,0.75
211,Lady Gaga,Crystal Paint,calm,0.055500366,0.85,0.8925729,0.043792125,0.05
212,Lady Gaga,Fountain Of Truth,calm,0.15,0.15,0.060882386,0.8984678,0.5
213,Lady Gaga,Weather Girl (Demo),calm,0.05,0.3623242,0.15,0.15,0.62029594
214,Lady Gaga,ROOM 06,calm,0.42188498,0.6,0.2785051,0.19191252,0.15
215,Lady Gaga,Prelude to Exodus,calm,0.6586705,0.003883083,0.26360196,0.15,0.7
216,Lady Gaga,Lady Gaga takes tea with Mr Fry,calm,0.15,0.15,0.06601677,0.9057008,0.5
217,Lady Gaga,To Be Announced,calm,0.15678357,0.6,0.74927706,0.15,0.15
218,Lady Gaga,Orlando speech,calm,0.4488158,0.05,0.15,0.41760454,0.5
219,Lady Gaga,Are you friendly with her?,calm,0.6,0.15,0.8568962,0.009475044,0.2
220,Maroon 5,Wait,calm,0.1,0.3,0.25,0.35,0.92550725
221,Maroon 5,Sunday Morning,calm,0.041319385,0.45,0.002496165,0.6196425,0.33557203
222,Maroon 5,Nobody’s Love,calm,0.2,0.5418396,0.05,0.002093211,0.4318374
223,Maroon 5,Daylight,calm,0.15,0.003799062,0.55,0.05,0.97448015
224,Maroon 5,Who I Am,calm,0.05,0.15,0.4,0.3,0.9910795
225,Maroon 5,Wait (Remix),calm,0.1,0.3,0.25,0.35,0.89969784
226,Maroon 5,Closure,calm,0.007852669,0.3,0.45,0.15,0.92227304
227,Maroon 5,Feelings,calm,0.000709883,0.006234638,0.5,0.25,0.9899968
228,Maroon 5,Denim Jacket,calm,0.2,0.6077719,0.027563112,0.15,0.35562873
229,Maroon 5,Secret,calm,0.45,0.05,0.1,0.3186958,0.6335734
230,Maroon 5,Goodnight Goodnight,calm,0.51624274,0.5,0.15,0.1,0.2
231,Maroon 5,The Sun,calm,0.11417606,0.18291827,0.30550674,0.36691654,0.35
232,Maroon 5,Leaving California,calm,0.1,0.55,0.028869985,0.1,0.8917454
233,Maroon 5,How,calm,0.1,0.15,0.011268805,0.2,0.9475594
234,Maroon 5,Come Away to the Water,calm,0.3,0.5895986,0.045072783,0.4,0.30026886
235,Maroon 5,The Air That I Breathe (iTunes Exclusive),calm,0.058020633,0.777897,0.25,0.05,0.45
236,Maroon 5,Wait (Chromeo Remix),calm,0.027088568,0.15,0.2,0.55,0.8916023
237,Maroon 5,Pure Imagination,calm,0.42916986,0.8,0.18996884,0.34905264,0.05
238,Maroon 5,The Sun (Alternate Mix),calm,0.11417606,0.18291827,0.30550674,0.45,0.2
239,Maroon 5,The Sun (Demo),calm,0.11417606,0.2,0.6,0.36691654,0.1
240,Maroon 5,Memories (Cut Copy Remix),calm,0.1,0.45,0.174043,0.6330979,0.05
241,Maroon 5,The sun - acoustic,calm,0.07501399,0.05,0.6,0.31520054,0.6063011
242,Maroon 5,Pure Imagination (2009 Version),calm,0.08045241,0.05,0.45,0.767196,0.5
243,Nicki Minaj,Sir,calm,0.25,0.1,0.15,0.9412694,0.4
244,Nicki Minaj,Inspirations Outro,calm,0.002161971,0.000584856,0.777777778,0.9852883,0.055555556
245,Nicki Minaj,Young Forever,calm,0.005717197,0.25,0.25,0.05,0.8351831
246,Nicki Minaj,Automatic,calm,0.24104953,0.2,0.63668895,0.3,0.15
247,Nicki Minaj,Keys Under Palm Trees,calm,0.009293424,0.15,0.55,0.74115795,0.25
248,Nicki Minaj,25 Things You Don't Know About Me,calm,0.018191544,0.000823557,0.75,0.97524124,0.25
249,Nicki Minaj,Good Luck,calm,0.004328466,0.05,0.55,0.913836,0.25
250,Nicki Minaj,Dilly Dally,calm,0.03286955,0.003010197,0.95,0.490315,0.05
251,Nicki Minaj,Ease Up,calm,0.015003622,0.001270193,0.35727414,0.65,0.2
252,Nicki Minaj,Nicki Minaj Discography,calm,0.013505275,0.001191348,0.2,0.93714625,0.8
253,Nicki Minaj,Zonin',calm,0.001991462,0.05,0.75,0.9584644,0.05
254,Nicki Minaj,Intro,calm,0.046098042,0.10721558,0.11459099,0.85,0.32465756
255,Nicki Minaj,Nicki Minaj Speaks,calm,0.006607461,0.05,0.8226115,0.16292179,0.65
256,Nicki Minaj,Nicki Minaj Speaks #2,calm,0.008027365,0.25,0.65,0.90858096,0.1
257,Nicki Minaj,Nicki Minaj Speaks #3,calm,0.176470588,0.000472289,0.294117647,0.95532733,0.033805188
258,Nicki Minaj,Outro,calm,0.004460624,0.000520446,0.55,0.9614575,0.45
259,Nicki Minaj,President Carter Speaks,calm,0.037394624,0.15,0.38783532,0.5638163,0.55
260,Nicki Minaj,I Just Borrow,calm,0.019215714,0.002238197,0.894736842,0.54400146,0.002395688
261,Nicki Minaj,Feel Free,calm,0.008090166,0.1875,0.5,0.9820624,0.25
262,Nicki Minaj,Brief & Beautiful,calm,0.00202676,0.05,0.3,0.006331219,0.98816866
263,Nicki Minaj,Perfect Day,calm,0.45,0.965353,0.05,0.3,0.2
264,Nicki Minaj,Queen Radio Archive,calm,0.35,0.1,0.7708344,0.20008539,0.45
265,Nicki Minaj,Tagliati I Capelli,calm,0.2,0.2,0.38031784,0.5532655,0.45
266,Nicki Minaj,Nicki Minaj Speaks (Jae Millz),calm,0.004149469,0.00066072,0.67403585,0.3165272,0.2
267,Nicki Minaj,Finale,calm,0.008342054,0.001515486,0.35,0.8597967,0.45
268,Post Malone,Go Flex,calm,0.2,0.004398191,0.4684111,0.4751716,0.35
269,Post Malone,Internet,calm,0.1,0.2,0.35,0.85758567,0.05
270,Post Malone,Spaceships on Sunsets,calm,0.006260512,0.15,0.15,0.9671,0.05
271,Post Malone,Stoned,calm,0.011491937,0.5,0.3,0.9723974,0.1
272,Post Malone,No Reason (Version 2),calm,0.015114156,0.15,0.4,0.912792,0.05
273,Post Malone,Overtones,calm,0.25,0.25,0.10054374,0.8196124,0.15
274,Post Malone,Japanese,calm,0.05,0.1,0.3,0.8093762,0.2
275,Post Malone,Another Cup,calm,0.05,0.25,0.35,0.81656575,0.3
276,Post Malone,Santa Fe,calm,0.15,0.1,0.5,0.8862604,0.01871156
277,Post Malone,Honest,calm,0.003278303,0.05,0.7,0.978663,0.25
278,Post Malone,Whatever,calm,0.023493638,0.001736531,0.5560997,0.41840363,0.65
279,Post Malone,Guacamole Carpet,calm,0.2,0.051498722,0.6419904,0.22799793,0.7
280,Post Malone,Stoned (Diplo Remix),calm,0.029953936,0.5,0.3,0.88087976,0.1
281,Post Malone,In The Air,calm,0.0561888,0.003107213,0.3,0.9154022,0.45
282,Post Malone,Post Malone's Tattoos,calm,0.038449813,0.5,0.35,0.68387836,0.000593983
283,Post Malone,Rooftops,calm,0.00515104,0.001665349,0.1,0.6181714,0.65
284,Post Malone,Untitled Leon Thomas III Collab*,calm,0.1,0.2,0.5418462,0.5,0.05
285,Selena Gomez,Bad Liar,calm,0.1,0.1,0.1,0.3,0.9370813
286,Selena Gomez,Let Me Get Me,calm,0.24611029,0.014656106,0.25063837,0.55,0.35
287,Selena Gomez,She,calm,0.20667733,0.04108709,0.2,0.7095284,0.55
288,Selena Gomez,Cologne,calm,0.003254301,0.05,0.3,0.35,0.9854671
289,Selena Gomez,Kill Em With Kindness (Acoustic),calm,0.15132807,0.7,0.783738,0.03476639,0.2
290,Selena Gomez,Out Of My Head,calm,0.1,0.55,0.001680139,0.35,0.82647383
291,Selena Gomez,Magical,calm,0.004448393,0.1,0.4,0.15,0.9419912
292,Selena Gomez,A Year Without Rain (Dave Audio Radio Remix),calm,0.001195174,0.15,0.15,0.55,0.9923267
293,Selena Gomez,Trust In Me,calm,0.9390146,0.1,0.3,0.35,0.25
294,Selena Gomez,Great Escape,calm,0.68855125,0.15,0.11117059,0.10470556,0.7
295,Selena Gomez,Back to You (Anki Remix),calm,0.000945463,0.3,0.4,0.15,0.9806435
296,Selena Gomez,Hope For Love,calm,0.030782167,0.000738843,0.2,0.96268266,0.55
297,Selena Gomez,My World,calm,0.15,0.45,0.011559155,0.35,0.65599775
298,Selena Gomez,Wildest dreams,calm,0.004226417,0.009646417,0.05,0.25,0.9454116
299,Selena Gomez,De una vez psrsian English,calm,0.015143734,0.53986865,0.4,0.3,0.42455342
300,Taylor Swift,invisible string,calm,0.45,0.2,0.002995789,0.80339247,0.1
301,Taylor Swift,Delicate,calm,0.1,0.05,0.15,0.3,0.9837599
302,Taylor Swift,Call It What You Want,calm,0.1249833,0.1,0.35,0.7312295,0.4
303,Taylor Swift,seven,calm,0.4,0.4,0.000618859,0.05,0.98835075
